Pos,MPG,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,2P_3-10,2P_10-16,2P_16-3P,2P%_0-3,2P%_3-10,2P%_10-16,2P%_16-3P,3P%,2P%_asst,3P%_asst,Corner3%_3PA,Corner3%
SF,34.05882352941177,20.9,9.3,0.9,6.8,7.8,1.4,0.4,3.4,3.7,118.0,115,0.248,0.263,0.19,0.731,0.488,0.475,0.4320000000000001,0.257,0.27,0.889,0.28600000000000003,0.4
C,10.191489361702127,13.7,3.9,3.0,10.0,2.2,1.1,1.2,3.2,5.4,119.0,110,0.19,0.099,0.077,0.77,0.444,0.5710000000000001,0.364,0.333,0.835,1.0,0.667,0.5
SF,19.47826086956522,13.0,3.4,2.4,6.7,2.0,2.0,0.5,2.8,5.5,94.0,109,0.223,0.071,0.044,0.633,0.242,0.333,0.385,0.281,0.638,0.938,0.614,0.343
C,17.396825396825395,9.0,4.3,3.9,11.2,3.1,2.2,2.5,2.5,5.3,113.0,106,0.102,0.077,0.107,0.6759999999999999,0.324,0.393,0.41,0.355,0.723,0.963,0.263,0.45
C,16.91304347826087,9.4,3.5,4.4,10.9,3.5,2.2,2.5,2.6,5.3,113.0,107,0.087,0.069,0.112,0.602,0.292,0.421,0.419,0.383,0.6920000000000001,0.978,0.242,0.448
C,18.705882352941178,8.1,6.2,2.6,11.7,2.2,2.1,2.5,2.3,5.1,112.0,105,0.149,0.103,0.092,0.92,0.385,0.333,0.375,0.25,0.794,0.875,0.344,0.455
PG,31.15625,14.7,10.6,0.8,4.5,10.3,0.9,0.5,4.1,4.3,111.0,113,0.191,0.078,0.028,0.637,0.354,0.263,0.31,0.308,0.17600000000000002,0.496,0.13,0.327
SG,23.03030303030303,7.9,2.6,2.0,7.6,4.6,2.6,0.6,2.7,3.4,108.0,101,0.084,0.039,0.051,0.655,0.302,0.45,0.5,0.336,0.537,0.8190000000000001,0.158,0.256
PG,33.557377049180324,16.9,13.3,1.8,11.7,12.7,1.5,0.3,6.1,3.6,116.0,110,0.237,0.058,0.014,0.752,0.436,0.37,0.471,0.316,0.171,0.24,0.02,0.273
SF,22.777777777777782,6.9,3.1,1.4,3.4,1.6,1.8,0.2,1.3,5.7,103.0,111,0.142,0.023,0.0,0.605,0.226,0.0,0.0,0.297,0.643,1.0,0.396,0.325
SG,17.416666666666668,7.4,1.9,0.6,4.7,3.3,1.3,0.2,1.2,2.6,109.0,116,0.055,0.062,0.193,0.6759999999999999,0.25,0.389,0.446,0.362,0.541,0.8140000000000001,0.153,0.32
PF,19.84210526315789,9.0,3.0,1.3,6.4,1.2,1.3,0.5,2.3,5.2,90.0,114,0.195,0.03,0.034,0.545,0.391,0.28600000000000003,0.25,0.28600000000000003,0.7190000000000001,0.929,0.35700000000000004,0.28600000000000003
SG,14.20689655172414,13.0,3.5,1.2,5.4,7.6,1.7,0.7,3.2,5.4,102.0,112,0.197,0.185,0.108,0.677,0.258,0.414,0.412,0.34700000000000003,0.333,0.647,0.14300000000000002,0.14300000000000002
PG,28.186440677966104,11.3,7.2,0.9,4.6,8.8,1.2,0.3,4.2,3.6,110.0,113,0.152,0.106,0.093,0.6970000000000001,0.391,0.338,0.507,0.3670000000000001,0.338,0.653,0.16899999999999998,0.404
C,32.96491228070175,19.6,7.7,6.5,16.1,4.0,2.8,2.4,5.3,5.3,104.0,103,0.334,0.027000000000000003,0.005,0.662,0.393,0.19,0.0,0.14300000000000002,0.574,0.8,0.2,0.429
C,33.755102040816325,19.6,7.6,6.7,16.3,4.1,2.9,2.4,5.2,5.2,104.0,102,0.355,0.028,0.006,0.665,0.39,0.158,0.0,0.048,0.568,1.0,0.14300000000000002,0.0
PG,24.882352941176467,8.7,2.0,0.9,6.2,6.6,3.8,0.6,2.6,6.0,104.0,106,0.187,0.056,0.032,0.647,0.438,0.263,0.182,0.259,0.423,0.966,0.259,0.276
SG,15.5,2.7,1.1,0.3,5.3,3.8,1.1,0.3,1.6,3.6,105.0,116,0.029,0.006,0.098,0.75,0.0,1.0,0.235,0.35,0.636,0.94,0.105,0.6
C,29.529411764705888,20.2,14.0,4.5,14.5,4.9,1.4,2.1,5.1,5.6,113.0,104,0.195,0.202,0.134,0.725,0.468,0.407,0.355,0.331,0.452,0.912,0.035,0.333
SF,18.33333333333333,7.3,3.8,2.7,6.7,2.4,1.3,0.8,2.2,5.3,111.0,110,0.08900000000000001,0.039,0.028,0.649,0.313,0.28600000000000003,0.4,0.325,0.667,0.8909999999999999,0.337,0.404
SF,15.83673469387755,7.5,3.8,3.0,6.4,2.6,1.4,0.9,1.9,5.3,114.0,110,0.097,0.027000000000000003,0.027000000000000003,0.6509999999999999,0.182,0.0,0.5,0.349,0.698,1.0,0.415,0.4320000000000001
SG,24.45,7.0,3.7,2.3,7.2,2.2,1.2,0.8,2.7,5.2,105.0,111,0.075,0.06,0.03,0.6459999999999999,0.6,0.5,0.25,0.28600000000000003,0.619,0.667,0.206,0.308
C,12.363636363636365,11.6,4.6,4.9,10.0,2.6,0.9,3.0,3.7,6.5,120.0,111,0.403,0.06,0.045,0.75,0.556,0.5,0.333,1.0,0.69,1.0,1.0,1.0
SG,14.413793103448276,10.9,3.3,1.0,3.7,3.5,1.3,1.4,2.9,4.7,86.0,116,0.104,0.194,0.29100000000000004,0.375,0.214,0.385,0.333,0.333,0.625,0.923,0.256,0.3
SG,15.333333333333336,11.0,3.4,1.0,3.7,3.6,1.3,1.4,2.9,4.7,86.0,116,0.105,0.195,0.293,0.375,0.214,0.385,0.333,0.342,0.625,0.923,0.263,0.3
SG,13.857142857142858,7.6,4.3,1.2,5.5,4.0,1.3,0.8,3.1,3.8,106.0,115,0.252,0.008,0.0,0.644,0.3670000000000001,1.0,0.0,0.349,0.268,0.8,0.302,0.231
SG,16.75,7.1,5.0,1.1,5.6,4.0,1.5,0.7,2.5,3.6,112.0,116,0.208,0.0,0.0,0.667,0.35,0.0,0.0,0.35100000000000003,0.273,0.769,0.27,0.2
C,24.37254901960784,12.4,2.6,6.1,12.6,3.0,1.1,1.7,2.0,4.0,126.0,109,0.192,0.07400000000000001,0.032,0.706,0.462,0.44,0.364,0.14300000000000002,0.721,1.0,0.7140000000000001,0.2
C,17.545454545454547,6.5,2.9,6.9,5.9,2.0,1.2,0.2,2.2,4.2,130.0,112,0.222,0.056,0.019,0.75,0.5,0.333,0.0,0.0,0.5,0.0,0.0,0.0
SF,22.446428571428577,2.0,0.8,0.9,2.0,2.0,1.0,0.7,1.2,6.0,97.0,114,0.05,0.014,0.05,0.63,0.364,0.667,0.545,0.292,0.897,0.98,0.411,0.319
C,12.732142857142858,10.6,3.3,4.4,8.6,3.2,1.2,1.1,2.7,7.0,107.0,114,0.18600000000000005,0.04,0.01,0.713,0.297,0.625,0.0,0.135,0.6940000000000001,1.0,0.405,0.067
PG,10.6,10.0,3.8,0.5,3.9,6.3,1.6,0.4,2.6,3.5,107.0,114,0.053,0.18600000000000005,0.191,0.5710000000000001,0.2,0.514,0.528,0.304,0.236,0.667,0.177,0.5710000000000001
PF,29.859154929577464,5.0,2.5,3.3,5.9,2.6,1.0,0.9,1.6,4.1,122.0,113,0.069,0.006,0.019,0.659,0.361,0.333,0.3,0.376,0.636,0.965,0.4920000000000001,0.436
SG,25.063492063492063,6.1,2.7,0.4,3.4,3.3,1.0,0.0,1.7,3.4,110.0,118,0.081,0.048,0.146,0.675,0.404,0.393,0.435,0.388,0.723,0.932,0.08900000000000001,0.412
SF,31.45454545454545,11.6,5.2,0.4,3.6,4.9,1.7,0.4,2.9,3.8,112.0,112,0.147,0.104,0.107,0.691,0.474,0.381,0.475,0.399,0.4370000000000001,0.8270000000000001,0.14300000000000002,0.532
PG,32.03921568627451,18.7,10.2,1.0,4.8,10.3,2.2,0.7,4.7,4.3,111.0,112,0.266,0.135,0.06,0.665,0.452,0.391,0.551,0.292,0.145,0.611,0.135,0.16
SG,11.153846153846152,1.9,4.5,0.3,2.9,0.6,0.6,0.0,1.6,7.0,76.0,116,0.034,0.0,0.0,0.6,0.0,0.0,0.0,0.174,1.0,1.0,0.304,0.429
PG,13.148148148148149,8.9,3.3,1.2,3.3,12.9,1.9,0.6,5.0,5.8,99.0,114,0.213,0.106,0.213,0.5710000000000001,0.35,0.3,0.3,0.333,0.292,0.7,0.16699999999999998,0.6
PG,27.722222222222218,15.5,3.9,1.0,4.8,9.0,2.2,0.3,3.6,3.5,104.0,111,0.194,0.194,0.101,0.645,0.42,0.38,0.462,0.267,0.3,0.833,0.133,0.333
C,14.16279069767442,10.6,4.7,4.1,4.3,1.7,1.0,4.4,2.3,7.8,124.0,109,0.16399999999999998,0.006999999999999999,0.0,0.7659999999999999,0.409,0.0,0.0,0.0,0.7020000000000001,0.0,0.0,0.0
PF,29.580645161290327,10.0,7.9,0.9,7.6,3.2,1.1,0.1,2.0,2.0,120.0,111,0.097,0.081,0.133,0.645,0.278,0.424,0.459,0.405,0.494,0.86,0.098,0.3720000000000001
SG,25.78787878787879,6.1,2.5,1.0,3.4,2.9,1.4,0.3,1.2,2.8,118.0,116,0.13699999999999998,0.076,0.068,0.6779999999999999,0.392,0.439,0.459,0.399,0.7120000000000001,0.992,0.381,0.54
SG,30.915254237288128,10.7,1.9,0.7,2.2,6.1,1.1,0.1,4.0,2.5,96.0,119,0.153,0.149,0.094,0.468,0.439,0.423,0.379,0.355,0.28,0.733,0.182,0.389
C,26.38636363636364,5.4,2.0,1.3,10.0,6.0,1.4,1.6,2.4,5.1,110.0,103,0.179,0.115,0.05,0.629,0.54,0.375,0.071,0.385,0.6609999999999999,1.0,0.095,0.429
PF,21.80597014925373,12.3,4.4,2.0,9.8,3.7,1.1,1.1,2.9,3.4,107.0,113,0.156,0.193,0.114,0.72,0.366,0.47,0.471,0.336,0.49,0.851,0.268,0.28800000000000003
SF,29.5625,13.4,7.2,0.8,8.3,6.2,2.3,0.7,4.2,3.8,112.0,106,0.125,0.113,0.125,0.684,0.35700000000000004,0.409,0.35700000000000004,0.412,0.339,0.65,0.181,0.565
C,16.532258064516128,12.9,2.7,5.3,7.4,2.5,1.3,1.4,2.2,5.8,121.0,113,0.136,0.08,0.157,0.703,0.436,0.478,0.422,0.28600000000000003,0.7240000000000001,1.0,0.5710000000000001,0.25
C,14.5,18.1,3.6,3.1,10.5,4.4,1.6,1.3,3.2,8.7,111.0,109,0.259,0.16699999999999998,0.163,0.802,0.369,0.429,0.39,0.0,0.748,0.0,0.5,0.0
SG,34.68571428571428,15.3,7.1,0.9,7.3,4.6,1.6,0.9,2.7,2.3,111.0,109,0.263,0.136,0.068,0.617,0.404,0.5,0.507,0.34700000000000003,0.235,0.54,0.127,0.438
C,34.30882352941177,11.6,8.4,4.8,14.3,2.1,1.1,2.8,2.7,4.5,130.0,104,0.158,0.005,0.0,0.755,0.386,0.0,0.0,0.0,0.7490000000000001,0.0,0.0,0.0
PG,12.647058823529413,11.2,3.3,1.2,6.6,5.5,1.3,0.4,3.1,4.7,101.0,116,0.184,0.116,0.037000000000000005,0.6409999999999999,0.371,0.409,0.429,0.299,0.28,0.615,0.184,0.125
PF,32.53225806451613,12.8,5.4,2.6,8.9,5.5,1.2,0.9,2.4,3.0,107.0,110,0.126,0.15,0.08900000000000001,0.7040000000000001,0.361,0.348,0.162,0.308,0.5,0.89,0.177,0.333
SF,28.222222222222218,7.3,4.9,0.4,2.8,2.5,1.0,0.6,2.0,3.2,101.0,115,0.112,0.019,0.013,0.5589999999999999,0.385,0.333,0.0,0.317,0.5329999999999999,0.802,0.079,0.208
PG,35.09523809523809,8.6,5.3,1.0,3.9,10.7,1.4,0.3,4.1,2.6,109.0,116,0.11,0.07400000000000001,0.077,0.5429999999999999,0.274,0.35200000000000004,0.365,0.373,0.307,0.546,0.063,0.4320000000000001
SF,16.89090909090909,6.1,2.8,2.6,5.0,2.3,1.2,0.3,1.5,5.1,99.0,116,0.211,0.029,0.008,0.484,0.392,0.5710000000000001,0.0,0.275,0.63,0.97,0.292,0.229
SF,20.09090909090909,6.4,2.6,2.0,5.0,2.1,1.2,0.1,1.3,4.6,97.0,116,0.206,0.023,0.0,0.481,0.389,0.75,0.0,0.241,0.619,0.95,0.253,0.238
SF,12.090909090909092,5.3,3.3,3.9,4.9,2.6,1.2,0.7,1.8,6.3,104.0,117,0.224,0.045,0.03,0.5,0.4,0.333,0.0,0.35100000000000003,0.667,1.0,0.378,0.214
PF,26.647887323943657,10.0,5.1,1.5,5.0,2.3,1.3,1.5,1.6,4.0,117.0,112,0.16399999999999998,0.069,0.063,0.6859999999999999,0.413,0.409,0.275,0.389,0.7659999999999999,1.0,0.294,0.338
SG,24.808823529411764,4.1,1.4,1.4,4.9,2.6,2.4,0.9,1.8,3.8,108.0,107,0.07400000000000001,0.055,0.046,0.672,0.486,0.462,0.227,0.3670000000000001,0.675,0.975,0.391,0.398
PF,28.41860465116279,7.3,3.3,0.9,9.5,10.4,2.3,1.3,3.8,4.3,100.0,110,0.184,0.092,0.085,0.685,0.31,0.414,0.259,0.279,0.7240000000000001,1.0,0.093,0.333
PF,20.746031746031747,4.1,1.7,2.8,11.2,1.8,1.0,0.9,2.0,6.3,112.0,106,0.085,0.014,0.02,0.611,0.333,0.6,0.28600000000000003,0.387,0.5760000000000001,1.0,0.231,0.4
PF,20.0,8.0,4.5,1.2,5.4,2.5,1.3,0.9,2.1,4.4,114.0,111,0.16,0.026,0.017,0.747,0.436,0.333,0.333,0.339,0.67,0.952,0.388,0.38
PF,18.433333333333334,8.0,5.5,1.2,5.9,1.8,1.1,0.9,2.4,4.0,101.0,111,0.2,0.041,0.026,0.564,0.41,0.25,0.2,0.327,0.61,0.941,0.375,0.41
C,22.61111111111111,8.0,3.2,1.1,4.8,3.4,1.6,1.0,1.7,4.9,131.0,112,0.107,0.006999999999999999,0.006999999999999999,0.885,0.5,1.0,1.0,0.354,0.7140000000000001,0.964,0.405,0.344
PF,28.444444444444446,13.4,9.4,1.6,6.4,5.7,0.7,0.7,3.8,2.6,97.0,115,0.212,0.036000000000000004,0.032,0.565,0.358,0.222,0.125,0.243,0.393,0.593,0.21600000000000005,0.16699999999999998
SG,11.0,7.1,2.5,1.4,5.7,4.3,1.2,0.8,3.5,3.3,97.0,112,0.108,0.032,0.08900000000000001,0.605,0.412,0.2,0.429,0.301,0.568,0.96,0.241,0.3
PF,30.08333333333333,14.8,4.5,2.5,7.0,2.8,1.2,0.3,1.7,3.4,110.0,117,0.196,0.16,0.141,0.684,0.327,0.379,0.429,0.287,0.629,1.0,0.253,0.318
SG,29.450704225352112,8.6,4.2,0.6,4.8,3.2,0.9,0.1,1.6,2.9,116.0,115,0.11,0.08,0.098,0.612,0.35100000000000003,0.507,0.448,0.398,0.517,0.838,0.24,0.447
SG,36.51470588235294,12.5,14.9,1.3,7.0,9.5,2.3,1.1,5.7,4.2,120.0,108,0.177,0.018000000000000002,0.005,0.6679999999999999,0.414,0.444,0.5,0.355,0.139,0.171,0.045,0.342
PF,23.016129032258068,6.2,2.2,1.8,6.2,2.3,1.9,1.1,1.8,4.9,110.0,108,0.095,0.014,0.025,0.667,0.222,0.5,0.28600000000000003,0.34700000000000003,0.639,0.912,0.551,0.37
PF,22.82,6.0,1.7,1.9,6.3,2.0,2.0,1.2,1.9,5.0,109.0,107,0.097,0.009000000000000001,0.023,0.664,0.28600000000000003,0.5,0.2,0.37,0.647,0.963,0.603,0.4320000000000001
SF,23.83333333333333,7.0,4.1,1.4,5.4,3.4,1.5,0.5,1.2,4.8,114.0,114,0.091,0.03,0.03,0.677,0.0,0.5,0.5,0.28,0.609,0.7140000000000001,0.4,0.1
C,27.761904761904763,21.5,9.5,4.4,7.6,2.9,1.1,1.9,2.9,3.9,119.0,107,0.305,0.046,0.017,0.705,0.44,0.297,0.14300000000000002,0.0,0.618,0.0,0.0,0.0
SG,31.785714285714285,8.6,2.6,0.7,3.8,3.3,2.1,0.4,1.7,3.2,105.0,113,0.14800000000000002,0.081,0.075,0.649,0.234,0.28600000000000003,0.513,0.333,0.757,0.9,0.295,0.484
SF,30.768115942028984,8.4,2.0,1.4,5.2,3.2,0.9,0.4,2.3,3.5,114.0,112,0.111,0.029,0.052000000000000005,0.652,0.35600000000000004,0.478,0.463,0.424,0.7659999999999999,0.959,0.17,0.507
PF,34.291666666666664,16.0,4.2,1.4,8.4,4.5,1.0,0.8,2.0,3.2,113.0,110,0.214,0.157,0.095,0.662,0.482,0.467,0.33,0.3670000000000001,0.479,0.863,0.19,0.441
SG,11.255813953488374,12.2,5.0,2.2,6.4,4.9,3.4,1.9,1.9,5.5,116.0,105,0.17,0.048,0.012,0.5760000000000001,0.28600000000000003,0.5,0.0,0.381,0.508,0.813,0.381,0.313
SF,27.0,4.7,3.0,1.6,9.6,2.8,1.7,0.6,2.0,4.2,110.0,111,0.073,0.038,0.013,0.688,0.5379999999999999,0.25,0.14300000000000002,0.342,0.462,0.967,0.277,0.418
C,11.565217391304348,10.8,4.9,5.0,10.6,3.1,1.6,2.1,2.8,7.1,128.0,107,0.179,0.03,0.0,0.792,0.417,0.5,0.0,0.0,0.818,0.0,0.2,0.0
C,16.875,10.9,8.1,4.2,6.9,2.4,1.1,2.4,2.3,6.9,131.0,111,0.124,0.023,0.0,0.7509999999999999,0.25,0.333,0.0,0.25,0.809,1.0,0.25,1.0
SF,33.46153846153846,13.3,4.0,1.5,8.1,5.9,1.1,0.6,2.7,2.7,118.0,109,0.18600000000000005,0.171,0.113,0.752,0.446,0.4920000000000001,0.456,0.383,0.487,0.835,0.21600000000000005,0.396
C,15.0,11.0,3.7,3.7,9.4,4.4,2.0,3.4,2.9,6.3,112.0,109,0.31,0.006,0.012,0.785,0.453,1.0,0.0,0.222,0.77,1.0,0.278,0.3
C,14.20689655172414,10.5,3.9,3.8,9.7,5.1,1.9,3.8,2.5,6.5,112.0,109,0.28300000000000003,0.008,0.017,0.769,0.412,1.0,0.0,0.194,0.8,1.0,0.258,0.25
C,17.09090909090909,12.0,3.4,3.7,8.9,2.9,2.1,2.6,3.9,6.0,112.0,108,0.373,0.0,0.0,0.815,0.526,0.0,0.0,0.4,0.7190000000000001,1.0,0.4,0.5
PF,17.354166666666668,6.8,4.1,2.5,8.9,2.3,1.1,0.5,1.8,3.7,105.0,113,0.097,0.02,0.008,0.575,0.16699999999999998,0.4,0.0,0.341,0.679,0.977,0.217,0.35700000000000004
PF,12.411764705882351,5.9,2.9,2.8,8.3,2.6,0.6,0.6,2.1,3.4,95.0,113,0.091,0.036000000000000004,0.009000000000000001,0.5429999999999999,0.2,0.5,0.0,0.25,0.609,1.0,0.25,0.333
PF,29.357142857142854,7.7,5.2,2.1,9.4,2.0,1.6,0.5,1.6,4.0,114.0,112,0.102,0.006999999999999999,0.006999999999999999,0.596,0.14300000000000002,0.0,0.0,0.42,0.727,0.966,0.188,0.385
C,12.096774193548386,15.6,7.9,5.7,12.2,3.9,1.3,0.9,4.0,4.3,110.0,110,0.273,0.058,0.022,0.706,0.447,0.375,0.333,0.227,0.58,1.0,0.136,0.333
SG,27.418181818181814,10.8,3.2,0.5,6.7,3.9,1.1,0.3,2.8,2.5,103.0,112,0.106,0.116,0.184,0.584,0.433,0.425,0.422,0.389,0.474,0.784,0.151,0.467
PF,16.433962264150942,7.7,3.2,1.6,8.4,2.7,2.0,0.5,2.3,5.9,104.0,113,0.165,0.078,0.069,0.5,0.528,0.471,0.333,0.308,0.441,0.917,0.16699999999999998,0.154
SG,30.777777777777782,10.4,3.0,1.2,5.9,4.7,1.4,0.4,3.7,3.6,106.0,114,0.078,0.08199999999999999,0.118,0.675,0.35200000000000004,0.4,0.401,0.394,0.396,0.723,0.172,0.483
PG,21.54237288135593,7.2,3.6,1.8,4.6,6.5,1.7,0.2,2.0,3.0,131.0,106,0.112,0.059,0.061,0.7609999999999999,0.214,0.364,0.435,0.46,0.469,0.642,0.233,0.512
PF,18.440677966101696,4.6,2.3,1.3,5.9,4.5,1.9,0.5,2.2,3.7,106.0,111,0.147,0.032,0.058,0.463,0.415,0.333,0.5,0.368,0.5529999999999999,0.921,0.246,0.452
PF,18.77083333333333,4.5,2.0,1.2,6.2,4.9,1.6,0.4,2.1,3.8,109.0,112,0.133,0.034,0.056,0.5,0.419,0.375,0.5379999999999999,0.381,0.625,0.929,0.252,0.459
PF,17.0,5.5,4.2,1.3,4.2,2.6,3.1,1.3,2.9,3.1,91.0,107,0.222,0.022,0.067,0.28600000000000003,0.4,0.0,0.333,0.292,0.14300000000000002,0.857,0.208,0.4
PG,24.5,10.3,2.6,0.7,4.0,6.8,1.7,0.5,2.6,3.6,104.0,110,0.17800000000000002,0.11,0.105,0.57,0.33,0.32299999999999995,0.407,0.394,0.28800000000000003,0.8390000000000001,0.16699999999999998,0.4320000000000001
SG,34.70491803278689,14.4,4.0,1.7,4.7,8.9,2.2,1.0,4.0,3.2,108.0,112,0.214,0.07,0.036000000000000004,0.628,0.3720000000000001,0.486,0.25,0.353,0.31,0.574,0.147,0.431
SF,25.013698630136986,4.1,1.8,0.9,5.5,2.5,2.3,1.2,1.2,3.6,114.0,107,0.047,0.045,0.066,0.59,0.261,0.364,0.438,0.405,0.77,0.978,0.39,0.403
PF,18.7,13.0,6.1,4.7,7.3,4.5,2.0,1.0,2.5,4.9,114.0,104,0.191,0.061,0.021,0.569,0.302,0.45,0.14300000000000002,0.13,0.645,1.0,0.565,0.0
C,28.22727272727273,13.4,4.6,5.0,9.0,1.6,1.6,2.2,2.0,6.6,131.0,109,0.27,0.13699999999999998,0.023,0.75,0.473,0.638,0.25,0.0,0.7440000000000001,0.0,0.0,0.0
SF,29.476190476190478,7.8,2.1,0.8,4.8,2.5,1.3,0.3,1.5,3.5,121.0,117,0.163,0.18600000000000005,0.122,0.8,0.28600000000000003,0.5,0.5710000000000001,0.493,0.308,0.8859999999999999,0.366,0.5379999999999999
C,30.22388059701493,10.2,1.9,2.5,8.4,6.5,1.2,1.5,1.9,3.4,115.0,109,0.17800000000000002,0.111,0.123,0.746,0.381,0.456,0.414,0.35,0.614,0.98,0.127,0.278
SF,30.365079365079364,4.5,2.2,1.4,5.1,2.1,1.6,0.8,1.3,3.2,114.0,112,0.065,0.024,0.009000000000000001,0.679,0.2,0.308,0.2,0.363,0.733,0.946,0.414,0.354
C,18.92753623188406,9.9,7.8,6.3,12.2,1.6,1.1,2.9,3.1,8.1,125.0,103,0.181,0.0,0.006999999999999999,0.8140000000000001,0.38,0.0,0.5,0.6,0.618,1.0,0.2,0.0
SG,31.42857142857143,7.3,1.7,0.9,5.1,5.6,1.4,0.7,2.3,3.7,107.0,116,0.118,0.121,0.07400000000000001,0.5760000000000001,0.417,0.419,0.333,0.38,0.392,0.85,0.165,0.455
SF,32.03174603174603,8.8,3.3,1.0,5.6,2.6,1.0,0.4,2.4,4.2,100.0,117,0.133,0.085,0.111,0.591,0.297,0.379,0.421,0.355,0.564,0.944,0.336,0.363
SF,18.821428571428573,12.5,7.1,1.6,8.2,2.4,2.5,0.6,2.5,4.3,101.0,108,0.229,0.04,0.006,0.607,0.3,0.28600000000000003,0.0,0.316,0.618,1.0,0.5529999999999999,0.381
C,27.0,15.6,4.0,3.7,10.8,2.5,0.9,1.5,3.5,4.9,108.0,104,0.264,0.11,0.113,0.764,0.4920000000000001,0.459,0.382,0.385,0.799,1.0,0.11,0.25
SF,19.904761904761905,4.8,1.8,2.0,7.1,6.0,1.6,2.5,3.0,4.1,101.0,107,0.068,0.068,0.068,0.7390000000000001,0.333,0.16699999999999998,0.667,0.298,0.667,0.929,0.468,0.318
PF,15.65079365079365,8.2,4.0,2.9,11.1,2.3,1.1,0.8,1.6,4.4,119.0,102,0.163,0.061,0.038,0.649,0.373,0.474,0.583,0.365,0.802,0.98,0.234,0.313
PF,29.680555555555557,4.6,2.1,0.6,5.7,8.5,1.5,0.3,3.2,3.5,115.0,111,0.156,0.056,0.02,0.736,0.384,0.484,0.364,0.399,0.371,0.652,0.21,0.365
PF,33.935483870967744,15.7,8.1,1.1,7.2,5.7,1.3,0.8,4.2,3.9,112.0,112,0.128,0.16699999999999998,0.107,0.654,0.371,0.421,0.4270000000000001,0.391,0.317,0.887,0.26,0.44
PG,32.9,19.7,7.3,1.6,5.8,9.2,1.9,0.7,3.7,3.8,119.0,109,0.173,0.195,0.101,0.6709999999999999,0.444,0.506,0.405,0.394,0.203,0.35700000000000004,0.099,0.5
PF,28.823529411764714,11.8,3.8,2.9,8.6,2.4,2.6,3.9,2.4,4.1,107.0,103,0.099,0.151,0.105,0.667,0.364,0.36,0.4,0.34,0.597,0.938,0.245,0.391
SF,18.326923076923077,7.7,5.0,1.2,5.5,3.1,1.3,0.7,1.3,4.1,113.0,112,0.146,0.116,0.146,0.643,0.353,0.333,0.353,0.341,0.551,0.75,0.329,0.37
PG,13.508474576271189,10.9,4.4,1.3,3.5,3.5,1.0,0.2,2.8,4.5,100.0,116,0.16,0.106,0.066,0.5579999999999999,0.377,0.486,0.318,0.326,0.494,0.894,0.368,0.377
C,28.456140350877188,11.1,5.4,1.6,6.0,2.2,1.2,2.6,2.8,6.7,110.0,110,0.232,0.031,0.012,0.708,0.406,0.391,0.222,0.394,0.644,0.924,0.19,0.4
SF,17.318181818181817,10.7,6.1,1.3,6.7,4.3,2.2,1.1,3.4,4.9,103.0,109,0.208,0.044,0.038,0.78,0.333,0.14300000000000002,0.5,0.319,0.511,0.957,0.319,0.348
PF,16.076923076923073,8.2,2.3,1.2,5.9,2.4,0.7,0.5,0.6,3.2,108.0,115,0.196,0.111,0.015,0.5589999999999999,0.507,0.342,0.4,0.294,0.816,0.938,0.233,0.289
SG,23.967741935483872,11.8,3.5,1.1,4.9,8.2,0.8,0.3,3.3,3.8,108.0,114,0.227,0.101,0.052000000000000005,0.561,0.378,0.333,0.353,0.393,0.156,0.667,0.193,0.464
